Comment,Designator,Footprint,LCSC Part #
"100u","C410","TANT-B","C16133"
"100n","C411","C0603","C14663"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"PSM712-LF","D411","SOT-23","C32677"
"ZMM3V3","D415","SOD80","C8056"
"B5819W","D416, D417","SOD-123","C8598"
"SMCJ30A","D418","SMC","C310046"
"SMD1206P050TF/24","F410","SMD1206","C209741"
"Hellen One : Power-12V Module interface","M410","",""
"AO3400A","Q410, Q411","SOT-23","C344010"
"33k","R410, R411","R0603","C4216"
"4.7k","R412","R0603","C23162"
"6.8k","R413","R0603","C23212"
