Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C771,8.100000mm,5.500000mm,Top,-90.0,8.100000mm,5.500000mm
C772,13.000000mm,4.800000mm,Top,180.0,13.000000mm,4.800000mm
C773,13.000000mm,6.147905mm,Top,180.0,13.000000mm,6.147905mm
D771,9.900000mm,8.000000mm,Top,180.0,9.900000mm,8.000000mm
M771,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
R771,3.500000mm,1.800000mm,Top,180.0,3.500000mm,1.800000mm
R772,1.600000mm,5.600000mm,Top,-90.0,1.600000mm,5.600000mm
R773,5.200000mm,4.200000mm,Top,180.0,5.200000mm,4.200000mm
R774,5.200000mm,6.700000mm,Top,180.0,5.200000mm,6.700000mm
R775,9.400000mm,5.500000mm,Top,-90.0,9.400000mm,5.500000mm
R776,13.000000mm,7.950000mm,Top,180.0,13.000000mm,7.950000mm
R777,10.900000mm,5.500000mm,Top,-90.0,10.900000mm,5.500000mm
U771,10.800000mm,2.300000mm,Top,0.0,10.800000mm,2.300000mm
