Comment,Designator,Footprint,LCSC Part #
"1u","C600","C0402","C52923"
"100n","C601","C0402","C1525"
"100n","C602","C0402","C1525"
"33n","C603","C0402","C1585"
"DNP","C604","C0402",""
"100n","C605","C0402","C1525"
"DNP","C606","C0402",""
"1u","C607","C0402","C52923"
"100n","C608","C0402","C1525"
"1u","C609","C0402","C52923"
"1u","C610","C0402","C52923"
"1u","C611","C0402","C52923"
"100n","C612","C0402","C1525"
"100n","C613","C0402","C1525"
"100n","C614","C0402","C1525"
"100n","C615","C0402","C1525"
"4.7u","C616","C0603","C19666"
"100n","C617","C0402","C1525"
"100n","C618","C0402","C1525"
"LED-RED-0603","D600","LED-0603","C2286"
"LED-GREEN-0603","D601","LED-0603","C72043"
"LED-BLUE-0603","D602","LED-0603","C72041"
"LED-RED-0603","D603","LED-0603","C2286"
"PESD1CAN","D604","SOT-23","C343993"
"Module:wbo/0.5","M600","wbo",""
"VND7NV04TR-E","Q600","DPAK","C155605"
"VNP28N04-E","Q601","TO-220-3_Vertical",""
"1k","R600","R0402","C11702"
"1k","R601","R0402","C11702"
"68k","R602","R0402","C36871"
"68k","R603","R0402","C36871"
"10k","R604","R0402","C25744"
"10k","R605","R0402","C25744"
"10","R606","R0402","C25077"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610","R0402","C25765"
"20k","R611","R0402","C25765"
"20k","R612","R0402","C25765"
"10k","R613","R0402","C25744"
"10k","R614","R0402","C25744"
"100k","R615","R0402","C25741"
"1k","R616","R0402","C11702"
"1k","R617","R0402","C11702"
"10k","R618","R0402","C25744"
"10k","R619","R0402","C25744"
"27k","R620","R0402","C25771"
"100k","R621","R0402","C25741"
"1k","R622","R0402","C11702"
"27k","R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"10k","R625","R0402","C25744"
"1k","R626","R0402","C11702"
"1k","R627","R0402","C11702"
"1k","R628","R0402","C11702"
"DNP","R629","R0402",""
"DNP","R630","R0402",""
"MCP6004","U600","TSSOP14","C50282"
"AD8628","U601","TSOT23-5","C29309"
"STM32F042K6Tx","U602","LQFP32","C69216"
"REF3033","U603","SOT-23","C36658"
"XC6206P332MR","U604","SOT-23","C5446"
"TJA1051T/3/1J","U605","SO-8_3.9x4.9mm_P1.27mm","C38695"
