Comment,Designator,Footprint,LCSC Part #
"TJA1051T/3/1J","U100, U103","SO8","C38695"
"STM32F405RGT6","U105","LQFP64","C15742"
"SRV05-4-P-T7","D102, D200, D201, D202","SOT23-6","C85364"
"SN74LVC1G06DCKR","U110","SOT-353","C7828"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"PESD1CAN","D100, D104","SOT-23","C343993"
"P6SMB6.8CA","D205","SMB","C78395"
"Molex MicroSD 47219-2001","J100","SDAMB-012","C164170"
"Module:mega_mcu64/0.1","M1000","",""
"MCP6004","U185, U190, U195","TSSOP14","C50282"
"LED-RED-0603","D103","LED-0603","C2286"
"LED-GREEN-0603","D108","LED-0603","C72043"
"LED-BLUE-0603","D105","LED-0603","C72041"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
"B5819W","D101, D107","SOD-123","C8598"
"AO3401A","Q100, Q102","SOT-23","C15127"
"AO3400A","Q101, Q103","SOT-23","C20917"
"680k","R201, R202, R203, R204, R205, R206, R207, R208, R221, R222, R225, R226","R0402","C163456"
"510","R133, R134","R0603","C23193"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101","R0603-4","C25510"
"120","R100, R110","R0603","C22787"
"100n","C100, C101, C105, C108, C109, C110, C113, C120, C127, C130, C134, C147, C185, C190, C195, C204, C205, C206, C207, C220, C221, C222","C0402","C1525"
"100","R104, R106","R0603","C22775"
"33k","R120","R0603","C4216"
"32.768 kHz","Y101","SMD2012","C99009"
"10u","C117","C0603","C96446"
"C123",
"20 MHz","Y102","SMD5032","C112566"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10n","C208, C209, C210, C211","C0402","C15195"
"10k","R102, R103, R105, R107, R108, R109, R121, R127, R128, R141","R0402","C25744"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C137, C138, C140","C0402","C23733"
"4.7k","R144, R210, R211, R212, R213, R214, R215, R216, R217, R219, R220, R223, R224","R0402","C25900"
"4.7k","R185, R186, R190, R191, R196, R197, R200, R209, R218","R0603-4","C66697"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147","R0402","C25879"
"1u","C133","C0402","C52923"
"1n","C200, C201, C202, C203","C0402","C1523"
"0","R131, R143, R145","R0402","C17168"
